label,q1,q2
1,Q397345,Q538594
0,Q193805,Q699273
0,Q085471,Q676160
0,Q189314,Q438123
0,Q267714,Q290126
1,Q369715,Q658908
1,Q537991,Q268444
0,Q255847,Q179358
1,Q639518,Q053248
0,Q521550,Q435529
0,Q123362,Q056574
1,Q683881,Q087150
1,Q289444,Q505559
0,Q561541,Q435031
1,Q556979,Q613598
0,Q123788,Q114943
1,Q561061,Q196182
0,Q083256,Q301164
1,Q202392,Q213913
1,Q162443,Q675902
0,Q190842,Q508060
0,Q052258,Q073713
0,Q050550,Q248983
1,Q505409,Q502374
1,Q269648,Q587303
1,Q429695,Q189985
0,Q261905,Q494045
0,Q155492,Q713210
0,Q318473,Q046021
1,Q001264,Q069933
0,Q268131,Q329441
1,Q390941,Q219926
1,Q333069,Q169196
0,Q205025,Q292610
0,Q611114,Q485447
0,Q690396,Q575399
0,Q122953,Q355409
1,Q478705,Q109355
0,Q373693,Q169384
0,Q319613,Q135990
1,Q162721,Q592018
1,Q230608,Q667558
1,Q669193,Q113005
0,Q137942,Q356327
1,Q568330,Q667407
0,Q187631,Q077661
1,Q575752,Q384195
0,Q337429,Q631526
1,Q101916,Q164717
0,Q604925,Q099648
0,Q148945,Q406798
1,Q388132,Q119763
0,Q338171,Q236379
0,Q724059,Q271915
1,Q211077,Q546201
0,Q303796,Q153830
1,Q221414,Q462151
0,Q722595,Q092094
1,Q033337,Q439658
0,Q558337,Q578357
1,Q588327,Q511438
0,Q095149,Q012214
1,Q291808,Q384050
0,Q232461,Q696471
1,Q219258,Q572520
1,Q291436,Q695806
1,Q401768,Q131338
0,Q213245,Q413309
1,Q300438,Q278444
0,Q713811,Q178705
1,Q094474,Q187477
1,Q228974,Q665740
1,Q209532,Q569275
1,Q587873,Q246120
0,Q069135,Q448723
1,Q212101,Q427262
0,Q239828,Q301570
1,Q309664,Q552858
1,Q718254,Q438851
0,Q658742,Q245341
0,Q481188,Q437322
0,Q165182,Q501119
0,Q437396,Q456537
1,Q218962,Q551109
0,Q557308,Q283318
0,Q140496,Q701314
1,Q698408,Q657565
0,Q140924,Q537435
1,Q151513,Q217497
0,Q648069,Q250712
1,Q359222,Q455653
0,Q128938,Q033726
0,Q225488,Q180489
1,Q651167,Q644102
0,Q539075,Q351362
1,Q351263,Q578619
1,Q116611,Q068468
1,Q179289,Q455185
0,Q334063,Q538859
1,Q154553,Q537024
1,Q645061,Q030975
0,Q291221,Q021627
1,Q683461,Q423786
0,Q509839,Q676898
1,Q033142,Q499706
0,Q588796,Q070003
1,Q538843,Q567601
0,Q182463,Q508589
1,Q242405,Q086351
1,Q354621,Q580401
1,Q153962,Q622048
1,Q074662,Q489338
1,Q686635,Q121212
0,Q142544,Q211009
1,Q155680,Q240441
0,Q402863,Q538500
1,Q505409,Q218955
1,Q145146,Q198077
0,Q578218,Q329944
0,Q062867,Q641990
1,Q698092,Q100568
0,Q297019,Q505921
0,Q132935,Q259448
1,Q251407,Q055292
1,Q100546,Q430766
0,Q721321,Q548965
1,Q274362,Q673746
